image_name,snr_value_before,snr_value,method_name
image1_bruitee_snr_10.png,10.865586253568345,16.225618417379955,median
image1_bruitee_snr_10.png,10.865586253568345,16.243359935183676,adaptive_mask
image1_bruitee_snr_10.png,10.865586253568345,12.084151542746746,adaptive_mean
image1_bruitee_snr_10.png,10.865586253568345,18.353958909388627,convolution
image1_bruitee_snr_10.png,10.865586253568345,18.251555566483486,convolution_without_padding
image1_bruitee_snr_10.png,10.865586253568345,5.298109276680096,sobel
image1_bruitee_snr_10.png,10.865586253568345,4.757233307134613,prewitt
image1_bruitee_snr_10.png,10.865586253568345,-0.02737139381849225,roberts
image1_bruitee_snr_10.png,10.865586253568345,-0.3854953454976058,canny
image1_bruitee_snr_10.png,10.865586253568345,10.866778085088471,additive_gaussian_noise
image1_bruitee_snr_10.png,10.865586253568345,7.252798067656528,multiplicative_gaussian_noise
image1_bruitee_snr_10.png,10.865586253568345,3.4011045174936743,salt_pepper_noise
image1_bruitee_snr_13.png,13.091317460781017,17.51656965448238,median
image1_bruitee_snr_13.png,13.091317460781017,17.527421444642385,adaptive_mask
image1_bruitee_snr_13.png,13.091317460781017,14.581054416556746,adaptive_mean
image1_bruitee_snr_13.png,13.091317460781017,20.40347778621004,convolution
image1_bruitee_snr_13.png,13.091317460781017,19.77345425895235,convolution_without_padding
image1_bruitee_snr_13.png,13.091317460781017,4.925555546452556,sobel
image1_bruitee_snr_13.png,13.091317460781017,3.2460370739248114,prewitt
image1_bruitee_snr_13.png,13.091317460781017,-3.103852793310535,roberts
image1_bruitee_snr_13.png,13.091317460781017,-0.7827493738243161,canny
image1_bruitee_snr_13.png,13.091317460781017,13.09182883152507,additive_gaussian_noise
image1_bruitee_snr_13.png,13.091317460781017,7.72668532341209,multiplicative_gaussian_noise
image1_bruitee_snr_13.png,13.091317460781017,3.44553204321095,salt_pepper_noise
image1_bruitee_snr_16.png,16.413809051899694,18.891494889369767,median
image1_bruitee_snr_16.png,16.413809051899694,18.896825523318693,adaptive_mask
image1_bruitee_snr_16.png,16.413809051899694,18.045228563336803,adaptive_mean
image1_bruitee_snr_16.png,16.413809051899694,23.003423186338615,convolution
image1_bruitee_snr_16.png,16.413809051899694,21.401855157745125,convolution_without_padding
image1_bruitee_snr_16.png,16.413809051899694,3.1272204747510504,sobel
image1_bruitee_snr_16.png,16.413809051899694,0.1798001341507608,prewitt
image1_bruitee_snr_16.png,16.413809051899694,-7.140510854816766,roberts
image1_bruitee_snr_16.png,16.413809051899694,-2.2033331094466573,canny
image1_bruitee_snr_16.png,16.413809051899694,16.412235919328133,additive_gaussian_noise
image1_bruitee_snr_16.png,16.413809051899694,8.108753482147131,multiplicative_gaussian_noise
image1_bruitee_snr_16.png,16.413809051899694,3.4773789897343117,salt_pepper_noise
image1_bruitee_snr_22.png,22.291183863447763,19.837042064962876,median
image1_bruitee_snr_22.png,22.291183863447763,19.837473505453463,adaptive_mask
image1_bruitee_snr_22.png,22.291183863447763,23.61198828699432,adaptive_mean
image1_bruitee_snr_22.png,22.291183863447763,26.007790826842935,convolution
image1_bruitee_snr_22.png,22.291183863447763,22.739535966876744,convolution_without_padding
image1_bruitee_snr_22.png,22.291183863447763,-1.0887939495936723,sobel
image1_bruitee_snr_22.png,22.291183863447763,-3.851652333831799,prewitt
image1_bruitee_snr_22.png,22.291183863447763,-12.246749580205822,roberts
image1_bruitee_snr_22.png,22.291183863447763,-6.201554319217957,canny
image1_bruitee_snr_22.png,22.291183863447763,22.28068284790321,additive_gaussian_noise
image1_bruitee_snr_22.png,22.291183863447763,8.376424847866698,multiplicative_gaussian_noise
image1_bruitee_snr_22.png,22.291183863447763,3.5097321236926717,salt_pepper_noise
image1_bruitee_snr_28.png,28.237784117541437,20.06275686015535,median
image1_bruitee_snr_28.png,28.237784117541437,20.062732750723153,adaptive_mask
image1_bruitee_snr_28.png,28.237784117541437,28.13810054064247,adaptive_mean
image1_bruitee_snr_28.png,28.237784117541437,27.25551363273137,convolution
image1_bruitee_snr_28.png,28.237784117541437,23.18138169965861,convolution_without_padding
image1_bruitee_snr_28.png,28.237784117541437,-3.221400879077831,sobel
image1_bruitee_snr_28.png,28.237784117541437,-5.534319446391914,prewitt
image1_bruitee_snr_28.png,28.237784117541437,-14.864676765752034,roberts
image1_bruitee_snr_28.png,28.237784117541437,-7.094999008100514,canny
image1_bruitee_snr_28.png,28.237784117541437,28.196425095688248,additive_gaussian_noise
image1_bruitee_snr_28.png,28.237784117541437,8.458278585456835,multiplicative_gaussian_noise
image1_bruitee_snr_28.png,28.237784117541437,3.5014629844946787,salt_pepper_noise
image1_bruitee_snr_32.png,32.677658622930196,20.11211953667445,median
image1_bruitee_snr_32.png,32.677658622930196,20.112056326688045,adaptive_mask
image1_bruitee_snr_32.png,32.677658622930196,30.365525549804605,adaptive_mean
image1_bruitee_snr_32.png,32.677658622930196,27.569224760950668,convolution
image1_bruitee_snr_32.png,32.677658622930196,23.267336852216708,convolution_without_padding
image1_bruitee_snr_32.png,32.677658622930196,-3.8478748302255776,sobel
image1_bruitee_snr_32.png,32.677658622930196,-6.010378368372602,prewitt
image1_bruitee_snr_32.png,32.677658622930196,-15.67989229852856,roberts
image1_bruitee_snr_32.png,32.677658622930196,-7.25467107338805,canny
image1_bruitee_snr_32.png,32.677658622930196,32.563334388138905,additive_gaussian_noise
image1_bruitee_snr_32.png,32.677658622930196,8.484688612938792,multiplicative_gaussian_noise
image1_bruitee_snr_32.png,32.677658622930196,3.5166386692071705,salt_pepper_noise
